25 Jan 21 - 09:47,Pemprov Kalsel Siapkan Kajian Mendalam Dalam Mencegah Banjir Mendatang,14339,publish,Yes,Kabar Kalimantan,-
27 Feb 23 - 05:42,Pusat Perbelanjaan Kaltim Berbenah Sambut IKN,14283,publish,Yes,Bisnis Kalimantan,Headline
26 Jan 21 - 08:32,"Penduduk Balikpapan 688.318 Jiwa, 9,04 Persen Tidak Sesuai KK/KTP",14228,publish,Yes,Kabar Kalimantan,-
29 Nov 22 - 03:00,"Wali Kota Balikpapan Sidak Proyek Pemkot, Kenapa?",14106,publish,Yes,Kabar Kalimantan,-
13 Mar 23 - 09:31,"Kebun Sawit di Kaltim 1,39 Juta Hektare, Bisa Diperluas 905.544 Ha Lagi",14101,publish,Yes,Bisnis Kalimantan,Headline
04 May 23 - 04:52,"Ihwal Pipa Gas Senipah Berlanjut, Pemkot Balikpapan Ultimatum Anak Pertamina",13785,publish,Yes,Bisnis Kalimantan,-
01 Nov 22 - 03:02,Cek! Lokasi dan Jadwal Vaksinasi Covid-19 di Balikpapan Hari Ini,13655,publish,Yes,Kabar Kalimantan,-
20 Mar 23 - 06:10,"Peluang Bisnis Baru, Transkon Jaya Berencana Jajal Penyewaan Kendaraan 4x2",13452,publish,Yes,Bisnis Kalimantan,Headline
19 Mar 23 - 03:15,Taman Bumi Gunung Batu Benau akan Jadi Destinasi Geopark Baru di Kaltara,13383,publish,Yes,Kabar Kalimantan,-
31 Mar 23 - 05:11,"Kaltim Hentikan Sementara Pengiriman Sapi dari Pulau Jawa, Kenapa?",13182,publish,Yes,Bisnis Kalimantan,Headline
09 Feb 21 - 03:43,"Pertumbuhan Ekonomi Kota Balikpapan Tertekan, Begini Kondisinya",12858,publish,Yes,Bisnis Kalimantan,-
21 Nov 22 - 10:10,"Balikpapan Akan Hilangkan TPS Pinggir Jalan, Sampah Wajib Dipilah?",12688,publish,Yes,Kabar Kalimantan,-
02 Jan 23 - 02:27,Kota Balikpapan dan Samarinda Memoles Diri Demi IKN,12663,publish,Yes,Kabar Kalimantan,-
08 Dec 22 - 04:28,Surya Biru (SBMA) Datangkan ASP dari Tiongkok ke Balikpapan,12606,publish,Yes,Bisnis Kalimantan,-
26 Mar 21 - 10:46,Komoditas Ekspor UKM Kaltim Dilepas ke 10 Negara Tujuan,12601,publish,Yes,Bisnis Kalimantan,Headline
26 Apr 22 - 09:42,Cek! Jadwal dan Lokasi SPBU untuk Registrasi Fuel Card 2.0 di Balikpapan,12483,publish,Yes,Bisnis Kalimantan,-
09 Apr 21 - 03:17,Layanan GeNose Debut Perdana di Bandara APT Pranoto Samarinda,12339,publish,Yes,Kabar Kalimantan,-
19 Apr 23 - 11:29,"Lokasi Sholat Ied 2023 di Balikpapan, Jumat (21/4/2023) Mendatang",12253,publish,Yes,Kabar Kalimantan,-
